index,Pb,morph,DMSO,GBL,FAH,H2O,score
127182,-1.003773203,-1.542865529,1.287245656,1.287245656,1.279242603,-1.349507811,4
115650,-1.003773203,-1.542865529,0.141736227,0.141736227,2.940653865,0.102542469,4
589292,0.90540918,0.106126974,0.90540918,0.141736227,-1.094202056,2.099111605,4
794970,4.341937469,3.40411198,-1.003773203,-1.003773203,-1.094202056,0.647061325,4
256010,-1.003773203,-0.883268527,-1.003773203,-1.003773203,1.041898138,0.82856761,4
756041,2.432755086,1.425320977,-1.003773203,0.90540918,-0.619513124,0.46555504,4
503828,0.523572703,-0.223671526,-1.003773203,2.432755086,0.804553672,-1.349507811,4
783615,3.196428039,2.084917978,-1.003773203,-1.003773203,0.804553672,0.284048754,4
636188,0.90540918,0.435925475,-0.621936727,-0.621936727,1.991276001,-0.804988956,4
771448,2.432755086,1.755119477,-0.621936727,-0.621936727,-0.382168658,-0.078963816,4
209909,-0.621936727,-1.213067028,-0.621936727,2.050918609,-0.144824192,1.373086465,4
681048,0.90540918,0.765723975,-0.621936727,-1.003773203,-0.144824192,1.55459275,4
681435,0.90540918,0.765723975,-0.621936727,-0.621936727,0.32986474,1.373086465,4
782843,2.814591562,2.084917978,-0.621936727,-0.621936727,-0.619513124,0.284048754,4
635796,0.90540918,0.435925475,-0.621936727,-1.003773203,1.991276001,-0.804988956,4
794423,3.960100992,3.07431348,-0.621936727,-0.621936727,-0.85685759,-0.623482671,4
753192,2.050918609,1.425320977,-0.621936727,-0.621936727,-0.619513124,1.010073895,4
309943,-0.24010025,-0.883268527,-1.003773203,0.90540918,-0.382168658,2.099111605,4
687504,1.287245656,0.765723975,-0.621936727,-0.621936727,-0.619513124,1.736099035,4
794228,3.578264516,3.07431348,-0.621936727,-0.621936727,-0.85685759,-0.804988956,4
637884,0.90540918,0.435925475,-0.24010025,-0.621936727,0.567209206,0.82856761,4
393854,-0.24010025,-0.553470027,-0.621936727,-0.621936727,2.228620467,-0.623482671,4
558956,0.141736227,0.106126974,-0.621936727,-0.24010025,0.32986474,1.736099035,4
644908,1.287245656,0.435925475,-0.621936727,-1.003773203,1.991276001,-0.804988956,4
315618,-0.24010025,-0.883268527,-0.621936727,1.287245656,-0.144824192,1.91760532,4
637882,0.90540918,0.435925475,-0.24010025,-0.621936727,0.567209206,0.46555504,4
480539,-0.24010025,-0.223671526,0.523572703,-0.621936727,0.804553672,0.647061325,4
473827,-0.24010025,-0.223671526,-0.621936727,-0.621936727,0.32986474,1.55459275,4
393873,-0.24010025,-0.553470027,-0.621936727,-0.621936727,2.465964933,-0.623482671,4
402560,-0.24010025,-0.553470027,0.523572703,-0.621936727,0.567209206,0.647061325,4
637859,0.90540918,0.435925475,-0.24010025,-0.621936727,0.32986474,0.46555504,4
636176,0.90540918,0.435925475,-0.621936727,-0.621936727,1.753931535,-0.804988956,4
769483,2.050918609,1.755119477,-0.621936727,-0.621936727,-0.382168658,0.46555504,4
