Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A5	A8	A12	C2	C5	C7	C8	C9	C10	E3	E5	E6	E7	E8	E9	E11	G1	G4	G6	G8	G9	G11	G12
506	23	57	51	9	9	45	41	6	45	26	49	12	59	20	24	20	54	20	111	177	48	154	16	5
507	19	54	43	9	8	46	32	7	47	32	47	12	60	17	25	18	54	23	117	184	57	145	18	5
508	23	57	48	8	8	51	39	6	56	22	50	11	59	20	26	16	52	20	126	183	48	153	21	4
509	21	62	52	8	9	50	34	6	49	28	51	12	69	20	25	18	50	23	127	194	54	145	20	5
510	22	55	54	11	8	48	31	5	56	32	45	11	71	19	25	17	44	21	129	177	46	134	21	4
511	22	56	54	10	7	50	35	6	56	31	40	12	69	18	23	21	50	21	141	185	56	146	22	4
512	20	59	56	9	9	57	36	7	52	29	43	15	73	17	24	19	45	26	139	190	51	147	20	3
513	20	57	52	9	7	52	32	6	63	28	43	16	76	17	25	24	43	21	137	199	48	148	21	4
514	19	56	53	12	8	51	36	6	62	28	42	14	74	15	24	22	49	23	152	208	46	145	22	6
515	23	53	51	11	10	62	28	6	68	27	40	17	73	18	23	21	45	23	157	211	47	137	23	5
516	20	68	49	11	10	54	29	5	59	27	39	17	92	16	27	25	47	21	154	200	46	133	25	3
517	20	59	46	11	9	68	31	5	71	28	41	17	83	15	21	28	52	22	167	206	51	133	24	5
518	24	60	48	11	10	68	27	7	69	32	42	16	99	16	25	26	41	24	165	208	52	122	22	4
519	19	65	35	13	10	67	30	6	77	33	46	16	99	14	22	29	45	27	171	201	51	127	22	5
520	22	59	48	15	13	67	34	5	90	30	41	24	108	13	29	28	45	27	185	219	49	136	22	2
521	25	70	42	13	11	71	30	6	100	31	43	24	105	16	26	29	39	32	190	214	52	124	27	4
522	22	64	47	15	11	75	28	6	98	29	43	24	122	17	28	40	38	31	194	223	49	133	26	5
523	23	66	52	15	11	91	30	7	109	33	47	28	122	15	27	35	39	33	191	213	44	133	23	6
524	22	66	52	16	15	88	28	6	112	31	46	31	140	17	25	37	33	34	200	228	49	133	28	6
525	23	72	48	20	10	88	32	7	131	28	39	37	144	17	27	40	35	37	207	224	48	135	32	5
526	25	77	42	18	13	95	22	7	143	29	49	29	149	19	23	43	32	40	205	223	45	119	30	7
527	25	80	49	21	17	101	33	10	141	33	45	33	163	20	20	54	40	39	225	235	49	133	34	5
528	26	67	46	16	13	119	29	8	161	34	48	39	172	20	24	49	37	46	229	241	51	126	32	6
529	25	73	51	18	12	107	35	6	165	30	44	45	182	21	27	58	33	45	225	236	44	119	35	9
530	30	74	59	20	15	117	34	8	173	29	42	43	191	20	26	61	32	49	233	239	48	131	30	9
531	26	70	48	20	14	116	36	11	194	30	43	44	201	23	28	63	26	53	244	240	53	130	30	8
532	27	59	48	20	14	121	35	11	197	34	41	48	219	26	27	72	43	50	238	239	47	129	33	10
533	27	72	38	21	17	137	31	11	201	30	42	54	224	29	28	75	34	53	247	245	45	117	29	8
534	31	63	43	24	14	140	34	10	222	32	49	49	237	33	25	81	37	53	252	251	46	115	34	12
535	28	70	55	23	16	147	38	10	226	34	38	51	229	38	27	89	34	59	259	251	44	114	41	12
536	29	70	54	22	16	145	38	15	235	29	35	50	259	34	28	79	35	64	253	260	45	111	34	15
537	28	85	48	23	18	149	44	14	247	33	47	58	256	43	22	86	31	57	272	267	49	114	34	15
538	34	70	48	25	17	153	46	20	245	31	41	64	269	45	25	84	29	63	274	253	41	125	35	18
539	34	74	54	23	17	158	51	22	254	24	41	61	288	53	25	98	29	64	271	267	48	99	36	18
540	37	72	51	25	21	151	49	23	258	29	38	58	282	53	28	113	33	66	274	260	48	115	32	23
