Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A3	A5	A7	A9	C1	C3	C7	C9	C11	E1	E3	E5	E7	E9	E11	G1	G7	G9	G11
594	32	481	533	951	238	216	172	84	219	532	42	1584	219	140	36	22	1088	66	244	26
595	31	501	591	965	230	207	179	85	212	524	44	1671	228	149	28	23	1048	64	249	27
596	36	500	564	1019	256	210	189	95	224	547	44	1556	225	152	37	22	1158	69	256	29
597	37	510	580	1042	236	211	186	87	222	600	46	1810	233	151	35	21	1212	72	233	28
598	34	516	583	1079	249	215	187	92	250	573	47	1822	256	161	34	18	1222	67	239	27
599	37	514	587	1004	252	204	198	97	248	625	43	1845	254	166	38	22	1274	73	243	30
600	37	519	599	1057	254	198	207	90	246	621	46	1862	269	165	31	17	1314	71	252	28
601	34	516	608	1073	271	210	200	83	246	639	43	1893	268	168	33	17	1313	70	228	24
602	37	518	587	993	276	197	183	97	261	690	47	1883	254	176	37	21	1333	75	231	27
603	32	512	586	1060	292	191	201	94	251	682	41	1769	272	184	35	22	1374	78	228	26
604	33	522	570	1006	289	192	191	104	259	702	45	1741	261	191	33	24	1397	76	233	21
605	31	498	570	996	283	194	222	91	273	686	39	1740	271	185	42	18	1345	83	220	25
606	34	508	574	990	283	177	188	106	275	699	41	1764	274	187	34	19	1378	78	215	22
607	38	477	562	988	292	164	180	99	253	657	45	1808	271	201	36	17	1306	81	211	22
608	35	481	548	984	280	169	188	98	257	697	42	1675	257	203	33	16	1347	82	207	31
609	37	458	571	875	296	166	198	103	257	664	39	1692	245	196	38	21	1336	80	195	29
610	34	457	554	901	269	152	192	94	262	671	40	1618	241	193	33	18	1249	75	201	24
611	31	440	560	869	265	158	192	101	251	701	47	1597	258	178	30	16	1279	79	191	23
612	37	442	520	850	267	140	184	104	243	647	46	1534	236	200	36	19	1232	86	187	24
613	32	430	505	823	283	141	175	94	233	595	48	1544	251	186	40	17	1126	80	167	27
614	39	420	491	757	264	133	175	100	241	655	44	1484	243	188	42	14	1161	91	177	29
615	31	407	486	756	246	133	165	97	228	636	45	1445	222	182	39	14	1150	79	163	23
616	32	397	472	731	242	127	170	96	237	614	43	1358	222	187	36	13	1063	88	159	22
617	36	378	480	711	225	121	166	105	228	639	45	1355	212	180	35	13	1045	91	147	25
618	30	348	445	688	226	128	164	95	208	616	44	1344	215	173	33	13	1019	92	139	22
619	36	340	421	643	221	107	152	94	204	593	49	1281	192	180	35	13	974	90	149	23
620	30	334	408	617	230	119	151	100	204	565	53	1208	220	176	41	15	925	102	141	19
621	45	346	402	622	225	108	143	89	189	564	43	1196	214	175	34	12	889	93	129	26
622	38	331	389	603	230	95	136	95	195	531	43	1141	213	166	39	13	925	95	131	17
623	35	316	380	588	207	100	143	88	187	521	44	1150	203	155	41	11	882	91	120	27
624	29	309	378	559	197	93	141	96	195	533	46	1077	201	161	33	12	880	99	123	24
625	37	304	366	556	184	86	145	95	186	497	45	1001	189	158	39	15	860	93	122	21
626	34	287	361	549	196	81	126	92	180	485	49	1024	190	165	35	11	826	90	106	17
627	39	287	350	497	192	85	131	92	165	485	43	983	177	159	37	8	803	90	102	26
628	38	290	348	525	188	78	126	80	157	468	46	947	173	135	37	15	782	96	105	19
629	36	251	338	482	166	75	126	98	156	444	44	914	175	135	38	11	733	93	104	23
630	36	245	311	478	174	83	122	85	131	456	46	888	167	141	39	13	699	96	103	22
631	40	251	300	462	168	71	115	89	145	450	45	894	170	139	38	13	703	91	87	19
632	36	234	296	468	175	73	116	100	151	410	50	808	160	135	40	9	663	100	86	22
633	33	233	285	420	160	69	119	81	136	395	45	761	147	131	28	12	677	92	93	17
634	36	234	271	395	152	59	107	84	135	405	51	777	160	113	40	12	603	101	83	28
635	27	229	259	404	161	58	110	91	124	369	43	761	148	118	37	6	597	92	76	25
636	32	204	234	392	140	68	107	94	135	357	46	697	138	122	41	9	599	100	79	27
637	30	212	244	377	147	68	98	83	125	355	42	685	132	103	35	10	550	95	73	12
638	28	201	239	363	146	54	90	99	125	344	46	649	127	107	41	10	504	101	78	16
639	38	200	220	356	118	61	98	88	116	304	45	646	131	108	37	11	488	104	70	19
640	28	178	216	329	123	59	92	94	101	324	53	575	133	88	30	10	502	87	68	20
641	28	182	204	337	123	52	90	89	110	327	37	601	132	96	31	7	467	103	65	19
642	30	167	209	329	124	45	88	91	95	304	37	583	126	103	33	8	443	98	61	22
643	33	162	214	305	116	51	89	95	101	272	40	537	109	93	30	7	443	104	55	20
644	35	164	185	285	98	46	87	84	96	271	41	500	110	91	34	4	414	105	63	18
645	31	158	186	282	105	39	78	84	103	280	39	515	107	88	32	7	419	98	65	18
646	29	154	169	270	113	37	89	87	92	252	44	525	111	82	39	10	373	100	53	13
647	33	158	169	271	106	41	73	85	101	265	39	493	100	83	40	10	395	100	53	12
