Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	A1	A3	A5	A9	A11	C3	E1	E5	E7	E9	E11	G1	G5	G7	G9	G11
540	53	17	24	29	28	16	50	15	18	16	16	18	24	12	25	19
541	46	16	27	27	27	15	58	19	19	15	19	23	25	12	26	22
542	52	18	30	33	26	18	66	16	17	14	22	21	25	12	33	22
543	54	18	33	34	26	16	77	17	20	15	19	28	28	13	34	20
544	52	21	34	40	25	18	80	19	24	12	24	26	37	12	36	21
545	49	25	37	47	29	21	89	17	27	14	26	26	36	12	35	22
546	53	23	41	47	27	22	110	19	29	15	26	29	44	11	39	21
547	48	29	42	50	29	27	122	18	29	14	31	38	44	12	45	25
548	57	32	48	51	26	26	143	19	33	11	30	40	50	12	49	22
549	45	30	50	55	33	24	144	19	34	15	33	40	51	12	52	23
550	54	34	48	56	29	32	158	19	31	13	34	43	58	16	51	21
551	57	31	50	56	31	32	175	19	40	16	32	40	57	13	51	17
552	50	39	58	64	30	36	173	18	38	14	36	48	54	13	59	21
553	49	44	61	64	31	35	193	20	43	14	35	49	65	13	57	23
554	58	39	60	62	30	36	211	22	42	13	38	50	65	14	65	22
555	50	46	61	63	29	33	211	19	44	11	42	51	70	12	59	23
556	58	39	68	73	32	37	221	19	43	16	39	56	68	15	61	20
557	57	41	68	66	29	37	225	18	45	12	41	59	71	14	57	22
558	54	40	62	66	37	36	234	20	40	13	32	59	72	14	63	24
559	54	48	64	63	30	37	236	22	46	11	39	50	77	17	66	21
560	54	48	61	71	33	38	244	19	47	15	41	60	79	15	70	25
561	47	46	66	72	32	42	250	20	52	9	45	64	75	14	73	26
562	53	50	66	65	36	49	245	19	52	9	40	65	75	17	77	22
563	53	49	64	74	32	41	249	21	50	11	44	72	80	16	70	25
564	52	51	67	78	31	52	256	23	53	10	45	68	78	13	78	24
565	44	51	66	75	33	51	271	24	49	11	44	73	87	13	84	28
566	57	56	71	77	33	55	287	19	52	14	50	76	95	16	80	22
567	50	59	70	75	35	56	275	19	53	13	51	69	95	13	80	29
568	59	63	79	71	38	59	304	21	54	9	56	81	102	15	89	23
569	51	60	76	76	35	56	316	23	57	9	61	84	107	13	88	22
570	54	67	77	79	37	58	342	24	56	12	61	96	109	17	87	26
571	44	70	86	82	34	65	351	22	56	7	60	95	114	15	101	23
572	45	71	93	87	34	66	396	19	62	13	69	106	116	15	107	23
573	51	81	90	96	30	68	441	21	64	12	74	110	131	13	110	28
574	57	82	98	95	37	80	473	22	67	8	80	116	132	16	114	25
575	42	81	112	92	38	77	541	23	76	10	76	126	142	14	123	26
576	43	81	110	107	36	81	561	24	84	9	85	135	152	16	130	22
577	54	87	113	110	32	84	646	25	77	10	84	150	151	19	138	26
578	54	95	120	116	38	98	701	25	85	9	98	158	177	15	156	21
579	61	94	139	115	36	90	794	25	88	10	102	170	185	13	161	28
580	60	111	154	123	41	99	887	26	93	9	106	188	196	16	171	25
581	46	111	169	122	37	104	961	24	96	9	119	199	206	15	202	23
582	56	114	169	140	35	114	1032	26	104	13	126	206	214	17	200	22
583	46	109	183	133	32	120	1157	22	111	12	131	231	221	13	214	25
584	62	117	191	152	34	127	1148	23	108	9	132	223	252	12	208	25
585	58	125	202	149	37	132	1266	22	119	15	136	239	251	18	236	28
586	46	129	208	149	40	135	1408	24	124	9	146	251	262	16	246	26
587	59	136	229	167	39	130	1459	24	130	9	151	263	263	17	259	23
588	64	132	234	178	37	131	1597	27	127	10	157	265	276	20	251	28
589	47	134	252	169	41	139	1680	25	152	8	170	278	297	19	269	23
590	56	139	246	186	36	142	1760	28	145	9	168	287	301	19	278	26
591	49	135	261	175	42	138	1747	25	149	8	163	292	324	16	296	29
592	59	138	280	176	33	149	1802	27	158	9	171	288	319	18	298	26
593	50	148	276	193	36	142	1952	25	151	13	187	293	332	21	311	24
594	60	136	291	205	39	158	2011	30	171	6	178	316	337	15	302	28
595	50	139	300	205	45	154	1982	25	152	12	188	294	350	19	326	27
596	45	152	291	213	39	148	2055	28	147	7	198	301	329	15	310	30
597	54	142	326	198	36	153	2117	29	158	10	185	322	342	14	346	29
598	44	146	296	208	37	154	2194	24	148	8	185	296	336	17	310	27
599	54	138	301	209	42	154	2137	24	161	6	188	304	343	19	332	26
600	46	151	319	213	38	146	2106	26	167	7	195	311	343	13	333	26
601	57	136	314	210	45	145	2163	19	170	9	186	308	319	17	317	28
602	47	131	313	212	43	136	2042	25	173	7	193	315	332	15	324	26
603	45	141	314	205	37	129	2120	33	166	9	185	313	357	15	310	26
604	56	144	309	208	38	150	1986	25	178	9	185	299	318	20	330	26
605	51	139	311	204	39	129	2058	27	166	5	176	275	338	17	329	22
606	53	137	303	211	38	128	1969	26	178	7	179	294	294	17	322	26
607	41	133	301	209	44	142	1958	24	156	13	167	273	341	19	291	29
608	47	126	314	218	43	125	1836	28	145	6	171	270	325	17	318	22
609	51	123	294	203	39	130	1862	27	158	13	146	255	321	16	294	27
610	56	116	289	190	41	128	1701	23	165	7	148	266	314	15	278	24
611	52	127	271	181	40	122	1747	31	144	13	169	229	301	18	271	25
612	49	116	261	184	34	117	1592	22	144	8	139	238	285	16	269	28
613	53	110	268	172	41	124	1582	26	129	10	149	230	269	15	277	23
614	60	110	248	182	38	111	1532	32	141	13	141	217	300	14	248	21
615	47	106	246	161	38	102	1475	24	133	2	124	210	256	17	236	25
616	46	108	234	171	47	89	1442	22	145	7	122	205	264	17	246	29
617	44	109	231	151	41	102	1395	29	129	7	125	194	266	17	237	21
618	53	99	234	161	40	95	1355	23	124	12	133	195	254	20	234	23
619	56	94	238	149	39	95	1297	25	119	10	120	192	258	20	213	24
620	53	100	230	155	40	82	1206	23	122	7	122	183	256	19	213	24
621	48	99	212	140	41	88	1246	24	114	4	107	166	227	16	201	26
622	46	92	202	148	45	83	1175	27	104	3	107	172	223	19	195	28
623	49	80	186	140	42	77	1085	28	103	7	113	171	206	18	188	28
624	57	83	184	125	39	77	1126	22	123	9	98	165	211	21	191	27
625	41	80	190	127	41	84	1071	25	97	7	102	155	204	18	184	29
626	39	85	180	131	42	72	1043	25	98	7	84	139	205	17	169	23
627	42	76	173	128	38	75	955	20	88	8	102	152	206	14	177	24
628	48	81	168	120	39	73	929	27	92	4	96	148	205	14	164	27
629	61	76	174	110	49	69	952	25	90	8	84	123	188	16	159	28
630	57	82	147	100	37	73	892	27	77	7	92	136	188	16	156	31
631	46	68	149	109	40	58	815	23	77	9	83	135	185	21	143	24
632	50	68	129	113	45	62	883	23	81	8	90	139	184	20	160	28
633	44	69	144	98	45	62	806	25	82	12	78	116	177	19	139	21
634	53	70	145	102	34	56	757	27	81	6	79	115	163	17	126	27
635	50	64	126	89	44	61	752	28	72	14	74	117	153	21	126	23
636	47	61	128	86	39	57	681	23	68	11	65	104	175	12	127	25
637	46	55	123	83	39	54	647	24	60	6	62	102	162	20	111	26
638	47	59	120	84	36	55	657	23	60	5	65	107	151	12	108	23
639	47	72	110	72	34	60	604	31	67	7	51	94	143	14	108	25
640	38	68	99	84	40	47	594	31	54	7	58	93	141	16	94	25
641	42	55	111	77	34	48	602	21	52	8	58	93	145	21	107	26
642	48	61	114	70	38	53	547	24	56	9	59	88	143	16	99	24
643	42	47	96	72	35	45	568	29	61	11	46	83	142	17	96	25
644	41	58	86	69	42	43	492	23	57	6	54	71	134	20	93	19
645	47	57	88	62	37	47	486	29	48	7	47	71	133	14	93	18
646	44	49	88	59	41	44	525	22	47	3	52	62	140	19	81	22
647	42	51	90	61	42	43	475	29	46	6	44	71	128	18	80	22
648	55	57	85	57	35	38	454	26	48	3	56	69	122	17	86	23
649	49	48	87	59	37	37	428	24	40	8	49	68	124	20	72	24
650	53	49	74	51	38	40	441	31	46	4	45	68	113	16	78	23
651	56	48	79	61	35	35	414	23	47	7	39	76	117	17	83	25
652	36	43	62	46	34	39	389	26	45	8	47	75	115	15	79	27
653	41	42	74	44	39	37	370	24	43	10	43	63	118	14	73	23
654	40	46	72	51	31	32	374	22	39	7	34	53	114	19	73	22
655	38	40	66	57	44	33	369	26	41	9	42	61	111	23	62	23
656	35	44	64	48	36	37	362	23	32	4	44	48	119	16	65	24
657	36	41	54	49	34	44	346	27	33	7	32	60	110	17	60	20
658	40	44	63	49	32	26	317	21	32	4	36	51	107	19	63	25
659	48	47	53	46	41	35	312	29	33	6	36	52	97	13	52	19
660	45	26	51	36	37	29	314	23	32	6	28	42	102	14	58	25
661	38	39	56	44	44	27	301	28	29	5	34	45	98	15	51	25
662	42	35	55	43	37	29	269	22	32	5	33	36	93	20	53	21
663	44	38	62	40	41	27	253	21	30	4	25	42	91	15	52	18
664	51	38	55	41	36	23	259	18	22	4	31	47	95	20	52	28
665	45	35	43	34	36	25	248	24	27	5	27	35	98	15	46	18
666	37	42	49	30	43	27	242	17	30	1	32	39	78	17	49	15
667	38	39	40	33	38	28	230	26	28	9	24	36	86	15	50	22
668	50	28	43	36	34	21	224	23	26	1	33	31	86	12	39	23
669	38	34	35	30	31	27	184	31	23	6	24	41	78	15	47	28
670	37	38	42	25	34	23	208	18	26	7	23	28	76	15	46	23

