Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	G1	G3	E5	G5	E7	A9	E9	A11	G11
608	111	195	151	29	26	311	249	102	230
609	111	187	157	26	23	297	243	103	228
610	120	172	151	32	25	289	226	104	222
611	113	190	152	31	26	276	226	96	209
612	116	175	130	28	32	269	216	93	208
613	115	171	133	30	29	274	216	99	215
614	134	158	135	30	26	254	203	97	214
615	125	168	119	30	33	243	207	104	209
616	115	154	119	29	27	234	203	97	189
617	129	132	105	26	29	226	204	82	197
618	133	148	112	27	34	232	192	92	179
619	124	147	110	24	24	214	176	92	187
620	128	142	102	30	19	214	177	97	173
621	126	137	97	27	27	210	166	86	172
622	122	140	103	28	20	203	175	86	167
623	133	127	102	34	24	190	170	84	161
624	132	129	88	30	23	192	148	92	161
625	132	123	86	25	26	185	150	93	149
626	127	114	82	26	33	188	151	86	154
627	119	123	88	27	29	165	154	92	141
628	135	114	81	33	28	174	141	84	146
629	129	110	76	32	29	175	124	87	127
630	127	105	84	32	31	166	126	95	138
631	142	105	72	26	29	157	130	84	131
632	129	95	69	27	28	149	131	88	115
633	130	90	66	26	26	144	117	83	116
634	134	85	73	30	30	146	108	84	105
635	133	85	64	30	32	143	123	79	108
636	141	87	65	35	30	115	110	79	109
637	134	80	60	28	30	126	97	81	112
638	129	81	58	37	24	125	106	78	92
639	136	85	49	27	22	104	93	72	94
640	133	75	51	28	24	112	96	80	96
641	137	71	53	22	29	102	93	81	90
642	140	73	53	26	26	95	80	69	83
643	132	71	43	23	22	95	82	69	90
644	145	68	47	28	30	98	75	77	77
645	135	61	43	33	25	100	81	69	76
646	137	65	54	28	23	94	71	80	83
647	131	65	41	29	28	90	74	68	75
648	133	66	39	28	19	82	67	70	68
649	137	48	44	29	30	87	70	70	70
650	150	62	50	28	18	79	68	75	65
651	147	53	33	22	25	81	61	71	55
652	140	46	29	26	23	71	70	60	67
653	143	54	40	24	28	72	62	72	70
654	140	38	31	31	28	67	58	75	61
655	139	51	36	24	23	64	56	70	63
656	137	45	37	25	19	64	58	68	56
657	141	43	33	27	22	62	58	62	56
658	142	48	31	27	30	66	46	79	50
659	162	40	37	29	29	65	60	62	59
660	138	45	22	31	22	61	44	68	57
661	142	36	25	25	23	51	46	70	54
662	159	44	22	23	19	55	49	60	44
663	137	42	22	24	21	55	51	67	47
664	136	36	28	28	23	49	37	67	48
665	137	35	33	23	17	54	41	60	42
666	146	36	25	21	22	42	41	56	44
667	139	32	21	24	18	38	41	56	36
668	138	35	19	26	21	47	41	59	43
669	138	26	17	25	29	34	31	61	31
670	135	26	21	22	26	33	35	60	43

