Procedure Summary

Plate Type	Costar 96 white opaque
Read	Read:  (F) Emission Spectrum [380nm to 670nm by 1]

Field Group

			
			
			

EM Spectrum

Wavelength	C3	A5	A7	C7	E7	G7	A9	C9	A11	E11
603	754	3	30	11	987	23	20	306	22	16
604	737	11	31	13	1034	19	16	301	29	11
605	737	7	32	11	1009	19	16	300	25	11
606	753	10	31	11	1060	20	19	301	35	11
607	749	8	31	8	1033	16	20	299	28	12
608	754	8	31	14	1015	12	18	301	22	13
609	733	10	32	11	1047	19	15	318	30	14
610	773	7	28	16	1026	20	13	306	24	11
611	769	4	31	15	1021	19	17	319	27	14
612	757	7	25	15	1024	20	13	320	24	20
613	768	8	24	7	1038	18	17	310	24	15
614	757	8	31	9	1014	24	14	297	18	14
615	756	9	29	12	1024	21	16	317	23	18
616	773	12	32	13	1065	17	14	308	28	11
617	754	11	28	15	1065	20	17	320	23	14
618	753	3	33	12	1054	19	17	318	29	14
619	773	7	29	12	1054	18	15	322	19	14
620	766	7	29	7	1059	17	17	311	19	14
621	793	4	25	9	1081	19	19	308	24	12
622	802	9	25	7	1085	14	18	325	24	10
623	763	8	28	10	1068	15	20	316	19	12
624	788	9	30	16	1080	16	20	318	34	15
625	813	7	31	9	1092	18	21	334	27	10
626	811	8	28	7	1093	16	17	341	22	9
627	795	3	28	8	1077	19	18	334	17	9
628	813	11	34	18	1099	17	17	314	20	9
629	771	6	24	10	1131	21	17	333	22	10
630	802	3	34	8	1084	21	18	343	18	15
631	818	7	31	7	1095	18	20	330	15	15
632	788	6	31	11	1118	18	20	337	21	13
633	819	5	26	12	1100	19	17	316	21	13
634	814	4	30	11	1082	18	17	319	18	15
635	791	0	27	9	1113	20	18	336	14	12
636	780	9	32	15	1131	20	17	331	20	7
637	804	7	31	10	1088	25	17	317	17	19
638	820	2	28	6	1034	12	19	338	22	12
639	802	9	29	6	1094	17	18	329	12	13
640	801	4	27	13	1121	13	17	307	21	11
641	816	7	30	7	1086	17	14	334	19	12
642	816	1	34	4	1097	18	17	330	18	17
643	836	13	28	13	1091	22	17	342	17	12
644	834	1	35	11	1123	19	18	329	18	13
645	834	9	28	10	1128	22	13	335	17	13
