index,Pb,morph,DMSO,GBL,FAH,H2O,score
721604,0.854736842,1.378421053,0.052631579,0.052631579,2.486413043,10.26748971,1
558956,0.488421053,0.918947368,0.052631579,0.105263158,4.972826087,11.63648834,4
738279,0.366315789,1.531578947,0,0.052631579,1.657608696,8.898491084,3
769464,1.098947368,1.684736842,0.052631579,0.052631579,1.657608696,6.844993141,1
753546,1.098947368,1.531578947,0.052631579,0.210526316,0,2.737997257,1
385565,0.244210526,0.612631579,0.315789474,0.052631579,6.630434783,2.053497942,3
644908,0.854736842,1.072105263,0.052631579,0,10.77445652,2.053497942,4
626653,0.610526316,1.072105263,0,0.315789474,2.486413043,2.053497942,3
777879,0.732631579,1.837894737,0.052631579,0.052631579,0,3.422496571,1
315618,0.366315789,0.459473684,0.052631579,0.315789474,3.315217391,12.32098765,4
374146,0.244210526,0.612631579,0.052631579,0.052631579,5.801630435,2.737997257,3
637882,0.732631579,1.072105263,0.105263158,0.052631579,5.801630435,6.844993141,4
633581,0.732631579,1.072105263,0,0.052631579,1.657608696,3.422496571,1
705345,0.244210526,1.378421053,0.105263158,0.105263158,1.657608696,2.737997257,3
480539,0.366315789,0.765789474,0.210526316,0.052631579,6.630434783,7.529492455,4
792851,1.587368421,2.144210526,0.052631579,0.052631579,1.657608696,2.053497942,3
473827,0.366315789,0.765789474,0.052631579,0.052631579,4.972826087,10.95198903,4
576432,0.610526316,0.918947368,0.263157895,0.052631579,4.144021739,2.737997257,1
393873,0.366315789,0.612631579,0.052631579,0.052631579,12.43206522,2.737997257,4
738889,0.366315789,1.531578947,0.052631579,0.052631579,1.657608696,5.475994513,3
396131,0.366315789,0.612631579,0.052631579,0.421052632,4.972826087,2.737997257,3
303356,0.244210526,0.459473684,0.368421053,0.052631579,6.630434783,2.737997257,1
459778,0.244210526,0.765789474,0.052631579,0.052631579,8.288043478,7.529492455,3
707451,0.366315789,1.378421053,0.052631579,0.052631579,2.486413043,11.63648834,3
402560,0.366315789,0.612631579,0.210526316,0.052631579,5.801630435,7.529492455,4
721576,0.854736842,1.378421053,0.052631579,0.052631579,1.657608696,10.26748971,1
547728,0.366315789,0.918947368,0.052631579,0.052631579,2.486413043,1.368998628,1
747464,0.854736842,1.531578947,0.052631579,0.052631579,1.657608696,1.368998628,1
753578,1.098947368,1.531578947,0.052631579,0.210526316,1.657608696,3.422496571,1
